ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V00319819,A330_5146,2024-06-12,4.5,"{'temp': '8.3°C', 'pressure': '981.1 hPa', 'vibrations': '2.564873455886092 m/s²'}",0
V08385518,B757_4595,2024-06-12,5.2,"{'temp': '-9.7°C', 'pressure': '1025.4 hPa', 'vibrations': '3.9577647020295825 m/s²'}",0
V09892305,A340_1505,2024-06-12,3.7,"{'temp': '21.7°C', 'pressure': '874.4 hPa', 'vibrations': '0.7606367077320092 m/s²'}",1
V04101353,A380_6283,2024-06-12,8.2,"{'temp': '4.2°C', 'pressure': '967.4 hPa', 'vibrations': '4.7040502056011615 m/s²'}",0
V08458991,E175_6879,2024-06-12,9.8,"{'temp': '3.1°C', 'pressure': '920.0 hPa', 'vibrations': '4.31883875939099 m/s²'}",0
V04057198,B737_2262,2024-06-12,0.9,"{'temp': '7.0°C', 'pressure': '920.9 hPa', 'vibrations': '2.0905980293481745 m/s²'}",0
V06321813,B747_4007,2024-06-12,6.1,"{'temp': '-1.2°C', 'pressure': '921.7 hPa', 'vibrations': '1.8646253050567392 m/s²'}",0
V08162863,A320_6678,2024-06-12,3.6,"{'temp': '10.0°C', 'pressure': '993.0 hPa', 'vibrations': '0.8735258851287814 m/s²'}",0
V08167102,B737_1936,2024-06-12,5.4,"{'temp': '10.7°C', 'pressure': '1034.2 hPa', 'vibrations': '2.8732135721683654 m/s²'}",0
V02294371,E170_5551,2024-06-12,3.7,"{'temp': '-17.2°C', 'pressure': '936.6 hPa', 'vibrations': '0.7461343931368541 m/s²'}",1
V09070502,E170_6353,2024-06-12,6.9,"{'temp': '3.7°C', 'pressure': '984.5 hPa', 'vibrations': '4.17751237891933 m/s²'}",0
V02719678,B757_0375,2024-06-12,9.0,"{'temp': '6.2°C', 'pressure': '992.5 hPa', 'vibrations': '2.9295562013969545 m/s²'}",0
V06510952,A350_4039,2024-06-12,3.4,"{'temp': '19.3°C', 'pressure': '1000.9 hPa', 'vibrations': '3.3685579868630082 m/s²'}",0
V03602765,B777_0908,2024-06-12,3.1,"{'temp': '-16.3°C', 'pressure': '833.0 hPa', 'vibrations': '2.5563958299285767 m/s²'}",1
V02370928,B737_1524,2024-06-12,6.3,"{'temp': '-2.5°C', 'pressure': '896.5 hPa', 'vibrations': '3.3043048879833945 m/s²'}",0
V02194655,A320_6814,2024-06-12,7.9,"{'temp': '-2.7°C', 'pressure': '912.8 hPa', 'vibrations': '2.7476246206737565 m/s²'}",0
V09103567,A340_6933,2024-06-12,5.8,"{'temp': '-0.3°C', 'pressure': '992.8 hPa', 'vibrations': '4.862978047869672 m/s²'}",0
V08045393,A330_2982,2024-06-12,10.5,"{'temp': '6.2°C', 'pressure': '910.0 hPa', 'vibrations': '1.602357263374582 m/s²'}",0
V05340009,E170_2583,2024-06-12,3.6,"{'temp': '3.6°C', 'pressure': '1012.7 hPa', 'vibrations': '0.6090562704426988 m/s²'}",0
V04586540,A321_1458,2024-06-12,3.3,"{'temp': '2.6°C', 'pressure': '929.7 hPa', 'vibrations': '0.3241838050165624 m/s²'}",0
