ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V06188165,B777_5963,2024-06-08,6.1,"{'temp': '2.0°C', 'pressure': '914.8 hPa', 'vibrations': '0.28557960865871146 m/s²'}",0
V08709529,E170_6723,2024-06-08,4.6,"{'temp': '9.7°C', 'pressure': '1033.7 hPa', 'vibrations': '4.473616541038687 m/s²'}",0
V00949798,CRJ900_4821,2024-06-08,8.2,"{'temp': '-8.3°C', 'pressure': '1004.4 hPa', 'vibrations': '2.787266332865589 m/s²'}",0
V00257740,B747_4659,2024-06-08,5.3,"{'temp': '-14.2°C', 'pressure': '915.4 hPa', 'vibrations': '3.3549858888545203 m/s²'}",1
V05922327,E175_1426,2024-06-08,0.6,"{'temp': '-3.0°C', 'pressure': '971.7 hPa', 'vibrations': '3.5394846741892367 m/s²'}",0
V05633512,B737_0789,2024-06-08,3.3,"{'temp': '11.6°C', 'pressure': '933.3 hPa', 'vibrations': '0.18276910671911284 m/s²'}",0
V01269817,E175_4082,2024-06-08,8.4,"{'temp': '14.5°C', 'pressure': '984.1 hPa', 'vibrations': '2.428981267621003 m/s²'}",0
V00933187,B737_1256,2024-06-08,4.3,"{'temp': '5.5°C', 'pressure': '980.2 hPa', 'vibrations': '1.3286116995025248 m/s²'}",0
V09684741,CRJ700_1968,2024-06-08,2.4,"{'temp': '9.6°C', 'pressure': '941.9 hPa', 'vibrations': '0.8982909009780315 m/s²'}",0
V03219330,B757_1844,2024-06-08,3.5,"{'temp': '27.2°C', 'pressure': '930.1 hPa', 'vibrations': '2.1611550951970253 m/s²'}",1
V05684260,A350_6031,2024-06-08,8.4,"{'temp': '3.6°C', 'pressure': '962.7 hPa', 'vibrations': '4.267725175760802 m/s²'}",0
V06989890,CRJ900_1943,2024-06-08,9.6,"{'temp': '7.6°C', 'pressure': '1024.6 hPa', 'vibrations': '4.159996681596004 m/s²'}",0
V07763939,B737_1524,2024-06-08,7.6,"{'temp': '-5.8°C', 'pressure': '995.4 hPa', 'vibrations': '2.6798741904697785 m/s²'}",0
V08743324,CRJ900_5426,2024-06-08,7.9,"{'temp': '0.5°C', 'pressure': '952.3 hPa', 'vibrations': '0.08350051354286514 m/s²'}",0
V08917369,CRJ700_3699,2024-06-08,3.0,"{'temp': '5.3°C', 'pressure': '1014.4 hPa', 'vibrations': '1.3501103649758073 m/s²'}",0
V04378340,A380_2079,2024-06-08,4.9,"{'temp': '-7.7°C', 'pressure': '950.8 hPa', 'vibrations': '4.542459681741567 m/s²'}",0
V03113177,A330_6095,2024-06-08,6.2,"{'temp': '-0.7°C', 'pressure': '1035.8 hPa', 'vibrations': '4.914961992259515 m/s²'}",0
V01469956,E175_2805,2024-06-08,2.0,"{'temp': '-6.0°C', 'pressure': '906.1 hPa', 'vibrations': '4.360468013860161 m/s²'}",0
V07517058,A330_4046,2024-06-08,2.9,"{'temp': '32.4°C', 'pressure': '976.4 hPa', 'vibrations': '0.8660236072543948 m/s²'}",1
V04548858,CRJ700_3181,2024-06-08,5.6,"{'temp': '-0.7°C', 'pressure': '1031.3 hPa', 'vibrations': '2.09500921827777 m/s²'}",0
V09186688,A330_6573,2024-06-08,6.8,"{'temp': '-9.8°C', 'pressure': '959.3 hPa', 'vibrations': '0.07245692525314096 m/s²'}",0
V08587011,A380_2017,2024-06-08,2.4,"{'temp': '4.9°C', 'pressure': '1004.7 hPa', 'vibrations': '3.8707757846816158 m/s²'}",0
V07268644,CRJ700_2988,2024-06-08,5.5,"{'temp': '1.7°C', 'pressure': '969.1 hPa', 'vibrations': '0.639130347236177 m/s²'}",0
V03309472,A320_2562,2024-06-08,7.0,"{'temp': '-3.0°C', 'pressure': '932.1 hPa', 'vibrations': '1.7705955542579614 m/s²'}",0
V03900425,A330_2982,2024-06-08,7.3,"{'temp': '18.4°C', 'pressure': '886.5 hPa', 'vibrations': '4.956857849093057 m/s²'}",0
V07401178,A340_4021,2024-06-08,6.2,"{'temp': '7.1°C', 'pressure': '997.6 hPa', 'vibrations': '3.8978681384539504 m/s²'}",0
V06932321,B767_2315,2024-06-08,8.6,"{'temp': '-16.9°C', 'pressure': '951.5 hPa', 'vibrations': '4.397180703519527 m/s²'}",1
V00567840,A321_5206,2024-06-08,4.1,"{'temp': '-5.1°C', 'pressure': '920.0 hPa', 'vibrations': '0.4543836243648086 m/s²'}",0
V06487380,A320_1884,2024-06-08,2.5,"{'temp': '-8.4°C', 'pressure': '962.5 hPa', 'vibrations': '1.2906130364785522 m/s²'}",0
V06857362,A321_3707,2024-06-08,5.3,"{'temp': '9.4°C', 'pressure': '961.5 hPa', 'vibrations': '4.683879432491786 m/s²'}",0
V09014433,B767_0277,2024-06-08,6.0,"{'temp': '11.3°C', 'pressure': '917.9 hPa', 'vibrations': '2.218361753324531 m/s²'}",0
V00701408,B777_6867,2024-06-08,5.9,"{'temp': '8.4°C', 'pressure': '938.4 hPa', 'vibrations': '0.5458035375729553 m/s²'}",0
V06594003,A330_3404,2024-06-08,4.9,"{'temp': '-15.5°C', 'pressure': '947.2 hPa', 'vibrations': '0.8108831453054083 m/s²'}",1
V09199539,A330_4129,2024-06-08,5.7,"{'temp': '13.6°C', 'pressure': '848.4 hPa', 'vibrations': '3.394194453176445 m/s²'}",0
V08698931,CRJ900_3749,2024-06-08,5.8,"{'temp': '14.3°C', 'pressure': '927.0 hPa', 'vibrations': '2.768888049145071 m/s²'}",0
V05494809,B777_0122,2024-06-08,4.8,"{'temp': '9.0°C', 'pressure': '967.3 hPa', 'vibrations': '3.1321874258347746 m/s²'}",0
V06613164,B737_2262,2024-06-08,4.1,"{'temp': '1.0°C', 'pressure': '924.8 hPa', 'vibrations': '2.9451829567434706 m/s²'}",0
V05040082,A350_4039,2024-06-08,4.2,"{'temp': '-9.6°C', 'pressure': '933.4 hPa', 'vibrations': '0.8666305729680535 m/s²'}",0
V06684415,A320_6242,2024-06-08,3.9,"{'temp': '-7.1°C', 'pressure': '919.5 hPa', 'vibrations': '1.484782838401188 m/s²'}",0
V02141751,A350_4789,2024-06-08,1.5,"{'temp': '-9.0°C', 'pressure': '996.3 hPa', 'vibrations': '1.3184153446919056 m/s²'}",0
V01942295,B747_2724,2024-06-08,1.1,"{'temp': '-0.2°C', 'pressure': '952.8 hPa', 'vibrations': '4.7834841338784875 m/s²'}",0
V09662087,B747_6297,2024-06-08,6.8,"{'temp': '5.5°C', 'pressure': '931.6 hPa', 'vibrations': '4.356921597187492 m/s²'}",0
V02923956,A350_0441,2024-06-08,4.7,"{'temp': '-8.7°C', 'pressure': '929.2 hPa', 'vibrations': '3.3953084819166115 m/s²'}",0
V04678202,B777_2912,2024-06-08,6.5,"{'temp': '11.9°C', 'pressure': '962.9 hPa', 'vibrations': '0.33198619528993445 m/s²'}",0
V02912465,A380_6283,2024-06-08,7.7,"{'temp': '3.2°C', 'pressure': '947.1 hPa', 'vibrations': '2.1820586477289057 m/s²'}",0
V08653069,A380_0710,2024-06-08,4.8,"{'temp': '-1.9°C', 'pressure': '930.0 hPa', 'vibrations': '0.38796978180118624 m/s²'}",0
V07898594,A340_4662,2024-06-08,5.4,"{'temp': '0.7°C', 'pressure': '1074.0 hPa', 'vibrations': '2.761738028826242 m/s²'}",0
V04658161,E170_2583,2024-06-08,3.4,"{'temp': '6.2°C', 'pressure': '854.6 hPa', 'vibrations': '4.343419722762935 m/s²'}",0
V07938661,A320_6924,2024-06-08,6.8,"{'temp': '-15.5°C', 'pressure': '1034.4 hPa', 'vibrations': '0.8820745438911931 m/s²'}",1
V02636703,A350_0643,2024-06-08,4.9,"{'temp': '-3.0°C', 'pressure': '970.9 hPa', 'vibrations': '2.496766724856375 m/s²'}",0
V02409845,B747_5923,2024-06-08,4.0,"{'temp': '-1.1°C', 'pressure': '999.9 hPa', 'vibrations': '1.9097012742199349 m/s²'}",3
V04020745,A350_1177,2024-06-08,4.5,"{'temp': '-4.9°C', 'pressure': '991.1 hPa', 'vibrations': '3.0269768610682934 m/s²'}",0
V04782006,B757_2908,2024-06-08,1.6,"{'temp': '0.8°C', 'pressure': '952.6 hPa', 'vibrations': '4.7349849100769745 m/s²'}",0
V07411721,B747_2846,2024-06-08,4.2,"{'temp': '-0.9°C', 'pressure': '966.5 hPa', 'vibrations': '1.219375419287827 m/s²'}",0
V07961345,B747_0262,2024-06-08,6.0,"{'temp': '3.3°C', 'pressure': '940.6 hPa', 'vibrations': '1.4179612481145836 m/s²'}",0
V05745488,B737_3303,2024-06-08,3.1,"{'temp': '-3.2°C', 'pressure': '902.9 hPa', 'vibrations': '4.084910543672376 m/s²'}",0
V04104176,B757_4533,2024-06-08,5.4,"{'temp': '-10.2°C', 'pressure': '958.2 hPa', 'vibrations': '1.540297128432535 m/s²'}",0
V05861971,A321_0473,2024-06-08,1.6,"{'temp': '15.3°C', 'pressure': '1028.2 hPa', 'vibrations': '4.892108117402376 m/s²'}",0
V09504254,A380_6121,2024-06-08,3.2,"{'temp': '-9.1°C', 'pressure': '880.5 hPa', 'vibrations': '2.363855933963228 m/s²'}",0
V01405831,A330_2237,2024-06-08,5.0,"{'temp': '-6.2°C', 'pressure': '907.6 hPa', 'vibrations': '3.667808064213018 m/s²'}",0
V03518698,A330_5146,2024-06-08,0.6,"{'temp': '-5.1°C', 'pressure': '889.8 hPa', 'vibrations': '1.985591891755099 m/s²'}",0
V04554174,CRJ700_1788,2024-06-08,4.0,"{'temp': '-4.4°C', 'pressure': '958.6 hPa', 'vibrations': '2.723121783933471 m/s²'}",0
V03592259,B767_4965,2024-06-08,4.8,"{'temp': '5.4°C', 'pressure': '962.3 hPa', 'vibrations': '0.18972662858123157 m/s²'}",0
V03519741,B757_6806,2024-06-08,1.7,"{'temp': '1.0°C', 'pressure': '986.0 hPa', 'vibrations': '2.351182352837071 m/s²'}",0
