ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V01278932,A340_3962,2024-06-07,5.6,"{'temp': '-11.7°C', 'pressure': '951.9 hPa', 'vibrations': '2.7577388348355063 m/s²'}",0
V08273170,A321_5105,2024-06-07,11.4,"{'temp': '11.8°C', 'pressure': '983.9 hPa', 'vibrations': '4.020220264213538 m/s²'}",1
V06166728,E170_4783,2024-06-07,6.1,"{'temp': '-5.5°C', 'pressure': '895.4 hPa', 'vibrations': '2.3677717121895316 m/s²'}",0
V01602590,B747_2846,2024-06-07,6.7,"{'temp': '-1.1°C', 'pressure': '967.0 hPa', 'vibrations': '4.756411012692508 m/s²'}",0
V09755243,B747_0262,2024-06-07,8.2,"{'temp': '6.9°C', 'pressure': '940.7 hPa', 'vibrations': '1.3183662083825305 m/s²'}",0
V01102998,A340_6933,2024-06-07,5.0,"{'temp': '-6.0°C', 'pressure': '983.9 hPa', 'vibrations': '0.399841107788777 m/s²'}",0
V00082969,B767_2368,2024-06-07,8.9,"{'temp': '-6.6°C', 'pressure': '917.5 hPa', 'vibrations': '1.7938141647218697 m/s²'}",0
V04422058,A350_0500,2024-06-07,9.7,"{'temp': '8.2°C', 'pressure': '906.7 hPa', 'vibrations': '4.239110160371392 m/s²'}",0
V09254682,E175_5586,2024-06-07,5.4,"{'temp': '4.6°C', 'pressure': '898.4 hPa', 'vibrations': '1.0459612981599375 m/s²'}",0
V05397916,B747_4152,2024-06-07,5.2,"{'temp': '-4.4°C', 'pressure': '895.8 hPa', 'vibrations': '3.367567494689714 m/s²'}",0
V05245905,B747_1988,2024-06-07,2.1,"{'temp': '-6.9°C', 'pressure': '921.2 hPa', 'vibrations': '3.9755016619140378 m/s²'}",0
V08986312,B747_2389,2024-06-07,9.8,"{'temp': '-13.3°C', 'pressure': '879.1 hPa', 'vibrations': '0.36847560787426903 m/s²'}",1
V03191116,A350_5568,2024-06-07,4.8,"{'temp': '7.0°C', 'pressure': '977.5 hPa', 'vibrations': '3.4850912265955665 m/s²'}",0
V04390909,B747_4211,2024-06-07,2.3,"{'temp': '-30.7°C', 'pressure': '954.0 hPa', 'vibrations': '2.3541516395636015 m/s²'}",1
V04145525,E170_4215,2024-06-07,4.4,"{'temp': '-2.8°C', 'pressure': '975.6 hPa', 'vibrations': '3.298392439067261 m/s²'}",0
V09732746,A350_1889,2024-06-07,6.0,"{'temp': '4.4°C', 'pressure': '1016.2 hPa', 'vibrations': '4.705010456798801 m/s²'}",0
V00561689,CRJ700_4386,2024-06-07,7.2,"{'temp': '7.9°C', 'pressure': '1031.1 hPa', 'vibrations': '1.288477205822331 m/s²'}",0
V04266743,A350_5434,2024-06-07,2.8,"{'temp': '8.8°C', 'pressure': '1012.9 hPa', 'vibrations': '2.5701050386578306 m/s²'}",0
V06479465,E175_2805,2024-06-07,5.6,"{'temp': '-1.7°C', 'pressure': '982.3 hPa', 'vibrations': '0.8094760062028261 m/s²'}",0
V01295434,CRJ700_1002,2024-06-07,7.1,"{'temp': '12.9°C', 'pressure': '1027.4 hPa', 'vibrations': '2.9913763704790117 m/s²'}",0
V05335031,B737_1117,2024-06-07,0.6,"{'temp': '-1.8°C', 'pressure': '924.4 hPa', 'vibrations': '4.69241961373426 m/s²'}",0
V03773529,A320_2497,2024-06-07,10.1,"{'temp': '6.0°C', 'pressure': '885.7 hPa', 'vibrations': '4.702602978082668 m/s²'}",0
V02305498,A340_4940,2024-06-07,1.8,"{'temp': '-5.8°C', 'pressure': '887.4 hPa', 'vibrations': '4.447896784882702 m/s²'}",0
V01125645,A340_4662,2024-06-07,5.9,"{'temp': '8.4°C', 'pressure': '878.2 hPa', 'vibrations': '1.7919958624330767 m/s²'}",0
V02329498,A321_3707,2024-06-07,4.9,"{'temp': '19.7°C', 'pressure': '1084.5 hPa', 'vibrations': '4.616933209129516 m/s²'}",0
V00349484,A380_6924,2024-06-07,9.7,"{'temp': '-11.5°C', 'pressure': '969.8 hPa', 'vibrations': '2.3741805996224885 m/s²'}",0
V00457738,B747_5273,2024-06-07,1.7,"{'temp': '-3.3°C', 'pressure': '979.6 hPa', 'vibrations': '1.3200875702803732 m/s²'}",0
V04978642,B747_0442,2024-06-07,4.2,"{'temp': '17.1°C', 'pressure': '960.9 hPa', 'vibrations': '1.6517848331687763 m/s²'}",0
V06597743,B777_0908,2024-06-07,3.6,"{'temp': '7.7°C', 'pressure': '912.5 hPa', 'vibrations': '4.081232572174121 m/s²'}",0
V01264143,A350_4039,2024-06-07,8.7,"{'temp': '11.6°C', 'pressure': '974.1 hPa', 'vibrations': '2.8465128210920976 m/s²'}",0
V08365552,A320_3178,2024-06-07,7.9,"{'temp': '-12.2°C', 'pressure': '984.1 hPa', 'vibrations': '3.5884880457920283 m/s²'}",1
V09055542,A350_5987,2024-06-07,6.4,"{'temp': '1.8°C', 'pressure': '913.3 hPa', 'vibrations': '1.6184444671849567 m/s²'}",0
V02489432,A340_3614,2024-06-07,4.7,"{'temp': '6.4°C', 'pressure': '928.0 hPa', 'vibrations': '0.3210056471952871 m/s²'}",0
V09777577,B737_0940,2024-06-07,4.6,"{'temp': '-5.0°C', 'pressure': '905.9 hPa', 'vibrations': '0.6722962887927797 m/s²'}",0
V07145214,A380_3607,2024-06-07,3.3,"{'temp': '-19.4°C', 'pressure': '895.1 hPa', 'vibrations': '0.04671321147853347 m/s²'}",1
V04204888,A330_6979,2024-06-07,5.5,"{'temp': '0.7°C', 'pressure': '875.6 hPa', 'vibrations': '4.655685191743297 m/s²'}",0
