ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V06683852,B737_0940,2024-06-05,0.6,"{'temp': '17.8°C', 'pressure': '904.2 hPa', 'vibrations': '0.5614556199736082 m/s²'}",0
V03551025,E175_6879,2024-06-05,5.2,"{'temp': '-1.3°C', 'pressure': '1029.6 hPa', 'vibrations': '1.283184307121119 m/s²'}",0
V04512442,A320_2562,2024-06-05,7.9,"{'temp': '16.4°C', 'pressure': '1071.7 hPa', 'vibrations': '1.8735167320926354 m/s²'}",0
V06831692,A320_1884,2024-06-05,7.4,"{'temp': '-24.3°C', 'pressure': '905.9 hPa', 'vibrations': '3.428686230796554 m/s²'}",1
V05264659,A321_3033,2024-06-05,3.6,"{'temp': '5.3°C', 'pressure': '1053.8 hPa', 'vibrations': '0.8653115312558146 m/s²'}",0
V01961332,A340_3887,2024-06-05,6.1,"{'temp': '-13.5°C', 'pressure': '948.3 hPa', 'vibrations': '3.8273521107696062 m/s²'}",1
V03023578,A380_3155,2024-06-05,6.0,"{'temp': '-4.0°C', 'pressure': '979.2 hPa', 'vibrations': '3.2166321743465187 m/s²'}",0
V09057132,CRJ700_2988,2024-06-05,2.8,"{'temp': '-3.8°C', 'pressure': '999.9 hPa', 'vibrations': '1.6249057408246892 m/s²'}",0
V00217717,A330_3519,2024-06-05,3.2,"{'temp': '-6.4°C', 'pressure': '955.3 hPa', 'vibrations': '0.5445964542526815 m/s²'}",0
V07533504,B747_4659,2024-06-05,9.0,"{'temp': '0.8°C', 'pressure': '934.4 hPa', 'vibrations': '1.6783091157142926 m/s²'}",0
V05130366,A320_3178,2024-06-05,4.5,"{'temp': '9.7°C', 'pressure': '868.5 hPa', 'vibrations': '1.9365732936156355 m/s²'}",0
V05438637,A340_4940,2024-06-05,7.6,"{'temp': '-1.2°C', 'pressure': '869.6 hPa', 'vibrations': '3.762918383102423 m/s²'}",0
V00449016,A321_4232,2024-06-05,5.4,"{'temp': '3.0°C', 'pressure': '980.9 hPa', 'vibrations': '4.763482001422699 m/s²'}",0
V09848261,B747_5923,2024-06-05,5.7,"{'temp': '2.5°C', 'pressure': '1016.6 hPa', 'vibrations': '4.423851731971446 m/s²'}",0
V05337978,B747_2724,2024-06-05,4.5,"{'temp': '8.9°C', 'pressure': '992.3 hPa', 'vibrations': '0.8776149906287928 m/s²'}",0
