ref_deg,linked_aero,compo_concerned,usure_nouvelle,measure_day,need_replacement
D003661,E170_6353,REAE170-E170_6353-0,54.20848,2024-06-04,False
D009402,E170_6353,REAE170-E170_6353-1,51.052144,2024-06-04,False
D000812,E170_6353,SYSE170-E170_6353-2,17.457904,2024-06-04,False
D006665,E170_6353,ORDE170-E170_6353-3,7.3735040000000005,2024-06-04,False
D001163,E170_6353,AUTE170-E170_6353-4,43.057968,2024-06-04,False
D004039,E170_6353,SYSE170-E170_6353-5,6.41152,2024-06-04,False
D003609,E170_6353,RADE170-E170_6353-6,22.976912,2024-06-04,False
D000662,E170_6353,SYSE170-E170_6353-7,26.883280000000003,2024-06-04,False
D005726,E170_6353,SYSE170-E170_6353-8,3.353536,2024-06-04,False
D001649,E170_6353,SYSE170-E170_6353-9,31.730912000000004,2024-06-04,False
D000484,E170_6353,SYSE170-E170_6353-10,27.611568000000002,2024-06-04,False
D000695,E170_6353,UNIE170-E170_6353-11,29.274256,2024-06-04,False
D008324,E170_6353,SYSE170-E170_6353-12,40.818896,2024-06-04,False
D004856,E170_6353,SYSE170-E170_6353-13,49.779328,2024-06-04,False
D003519,E170_6353,SYSE170-E170_6353-14,49.553312,2024-06-04,False
D001256,E170_6353,SYSE170-E170_6353-15,9.872784000000001,2024-06-04,False
D000407,E170_6353,GENE170-E170_6353-16,37.395104,2024-06-04,False
D003436,E170_6353,TRAE170-E170_6353-17,37.066016000000005,2024-06-04,False
D002068,E170_6353,TRAE170-E170_6353-18,29.270816,2024-06-04,False
D006601,E170_6353,SYSE170-E170_6353-19,32.832208,2024-06-04,False
D003686,E170_6353,AILE170-E170_6353-20,51.555456,2024-06-04,False
D006044,E170_6353,EMPE170-E170_6353-21,51.187984,2024-06-04,False
D007987,E170_6353,FLAE170-E170_6353-22,6.5076,2024-06-04,False
D002475,E170_6353,SPOE170-E170_6353-23,5.423344,2024-06-04,False
D000322,E170_6353,FREE170-E170_6353-24,30.576159999999998,2024-06-04,False
D008648,E170_6353,SYSE170-E170_6353-25,11.102,2024-06-04,False
D003139,E170_6353,GOUE170-E170_6353-26,32.220591999999996,2024-06-04,False
D005176,E170_6353,SYSE170-E170_6353-27,6.532672,2024-06-04,False
D001487,E170_6353,SYSE170-E170_6353-28,2.869392,2024-06-04,False
D008388,E170_6353,SYSE170-E170_6353-29,50.083824,2024-06-04,False
D004133,E170_6353,ECLE170-E170_6353-30,49.260176,2024-06-04,False
D009554,E170_6353,SIEE170-E170_6353-31,20.693264,2024-06-04,False
D001637,E170_6353,SIEE170-E170_6353-32,41.6048,2024-06-04,False
D006334,E170_6353,SYSE170-E170_6353-33,34.323840000000004,2024-06-04,False
D001943,E170_6353,SYSE170-E170_6353-34,6.258144,2024-06-04,False
D001901,E170_6353,TOIE170-E170_6353-35,10.19512,2024-06-04,False
D009948,E170_6353,SYSE170-E170_6353-36,48.639392,2024-06-04,False
D009118,E170_6353,DETE170-E170_6353-37,12.513504000000001,2024-06-04,False
D008557,E170_6353,ECLE170-E170_6353-38,5.487696000000001,2024-06-04,False
D003359,E170_6353,PORE170-E170_6353-39,9.728368,2024-06-04,False
D007229,E170_6353,SYSE170-E170_6353-40,24.907472000000002,2024-06-04,False
D004016,E170_6353,PORE170-E170_6353-41,18.157408,2024-06-04,False
D000955,E170_6353,HUBE170-E170_6353-42,15.292832,2024-06-04,False
D007247,E170_6353,ECLE170-E170_6353-43,51.412016,2024-06-04,False
D000514,E170_6353,SYSE170-E170_6353-44,22.392624,2024-06-04,False
D003716,B767_2803,REAB767-B767_2803-0,5.2410749999999995,2024-06-04,False
D004900,B767_2803,REAB767-B767_2803-1,20.32951,2024-06-04,False
D009419,B767_2803,SYSB767-B767_2803-2,47.413035,2024-06-04,False
D000526,B767_2803,ORDB767-B767_2803-3,26.439535000000003,2024-06-04,False
D008068,B767_2803,AUTB767-B767_2803-4,5.324345,2024-06-04,False
D007621,B767_2803,SYSB767-B767_2803-5,27.2483,2024-06-04,False
D005676,B767_2803,RADB767-B767_2803-6,58.22960499999999,2024-06-04,False
D008606,B767_2803,SYSB767-B767_2803-7,20.95995,2024-06-04,False
D002066,B767_2803,SYSB767-B767_2803-8,11.484565,2024-06-04,False
D007166,B767_2803,SYSB767-B767_2803-9,21.367105000000002,2024-06-04,False
D001487,B767_2803,SYSB767-B767_2803-10,24.085845,2024-06-04,False
D009699,B767_2803,UNIB767-B767_2803-11,44.30524,2024-06-04,False
D002688,B767_2803,SYSB767-B767_2803-12,41.865215000000006,2024-06-04,False
D007634,B767_2803,SYSB767-B767_2803-13,40.737494999999996,2024-06-04,False
D001515,B767_2803,SYSB767-B767_2803-14,53.403105,2024-06-04,False
D003070,B767_2803,SYSB767-B767_2803-15,27.439485,2024-06-04,False
D004711,B767_2803,GENB767-B767_2803-16,47.61166,2024-06-04,False
D003192,B767_2803,TRAB767-B767_2803-17,6.4725150000000005,2024-06-04,False
D007890,B767_2803,TRAB767-B767_2803-18,26.62514,2024-06-04,False
D002810,B767_2803,SYSB767-B767_2803-19,5.838945,2024-06-04,False
D009472,B767_2803,AILB767-B767_2803-20,60.520739999999996,2024-06-04,False
D002376,B767_2803,EMPB767-B767_2803-21,46.33436,2024-06-04,False
D003509,B767_2803,FLAB767-B767_2803-22,2.608375,2024-06-04,False
D004583,B767_2803,SPOB767-B767_2803-23,49.90251000000001,2024-06-04,False
D007051,B767_2803,FREB767-B767_2803-24,4.107025,2024-06-04,False
D008050,B767_2803,SYSB767-B767_2803-25,38.891875,2024-06-04,False
D004329,B767_2803,GOUB767-B767_2803-26,36.906805,2024-06-04,False
D008606,B767_2803,SYSB767-B767_2803-27,2.8706300000000002,2024-06-04,False
D007496,B767_2803,SYSB767-B767_2803-28,57.606305000000006,2024-06-04,False
D000165,B767_2803,SYSB767-B767_2803-29,21.676085,2024-06-04,False
D004964,B767_2803,ECLB767-B767_2803-30,21.835165,2024-06-04,False
D007041,B767_2803,SIEB767-B767_2803-31,57.44431,2024-06-04,False
D008890,B767_2803,SIEB767-B767_2803-32,42.867000000000004,2024-06-04,False
D008521,B767_2803,SYSB767-B767_2803-33,35.187975,2024-06-04,False
D005970,B767_2803,SYSB767-B767_2803-34,5.043260000000001,2024-06-04,False
