ref_deg,linked_aero,compo_concerned,usure_nouvelle,measure_day,need_replacement
D003661,E170_6353,REAE170-E170_6353-0,53.308375,2024-06-01,False
D009402,E170_6353,REAE170-E170_6353-1,50.11195,2024-06-01,False
D000812,E170_6353,SYSE170-E170_6353-2,16.730574999999998,2024-06-01,False
D006665,E170_6353,ORDE170-E170_6353-3,6.653075,2024-06-01,False
D001163,E170_6353,AUTE170-E170_6353-4,42.033525000000004,2024-06-01,False
D004039,E170_6353,SYSE170-E170_6353-5,5.5435,2024-06-01,False
D003609,E170_6353,RADE170-E170_6353-6,22.154225,2024-06-01,False
D000662,E170_6353,SYSE170-E170_6353-7,26.16775,2024-06-01,False
D005726,E170_6353,SYSE170-E170_6353-8,2.441425,2024-06-01,False
D001649,E170_6353,SYSE170-E170_6353-9,31.011725000000002,2024-06-01,False
D000484,E170_6353,SYSE170-E170_6353-10,26.801025000000003,2024-06-01,False
D000695,E170_6353,UNIE170-E170_6353-11,28.361800000000002,2024-06-01,False
D008324,E170_6353,SYSE170-E170_6353-12,40.100675,2024-06-01,False
D004856,E170_6353,SYSE170-E170_6353-13,48.845275,2024-06-01,False
D003519,E170_6353,SYSE170-E170_6353-14,48.861725,2024-06-01,False
D001256,E170_6353,SYSE170-E170_6353-15,8.850825,2024-06-01,False
D000407,E170_6353,GENE170-E170_6353-16,36.4487,2024-06-01,False
D003436,E170_6353,TRAE170-E170_6353-17,36.349175,2024-06-01,False
D002068,E170_6353,TRAE170-E170_6353-18,28.3073,2024-06-01,False
D006601,E170_6353,SYSE170-E170_6353-19,31.810525,2024-06-01,False
D003686,E170_6353,AILE170-E170_6353-20,50.829299999999996,2024-06-01,False
D006044,E170_6353,EMPE170-E170_6353-21,50.2402,2024-06-01,False
D007987,E170_6353,FLAE170-E170_6353-22,5.746875,2024-06-01,False
D002475,E170_6353,SPOE170-E170_6353-23,4.49695,2024-06-01,False
D000322,E170_6353,FREE170-E170_6353-24,29.816125,2024-06-01,False
D008648,E170_6353,SYSE170-E170_6353-25,10.334375,2024-06-01,False
D003139,E170_6353,GOUE170-E170_6353-26,31.348225,2024-06-01,False
D005176,E170_6353,SYSE170-E170_6353-27,5.75035,2024-06-01,False
D001487,E170_6353,SYSE170-E170_6353-28,2.155725,2024-06-01,False
D008388,E170_6353,SYSE170-E170_6353-29,49.257825,2024-06-01,False
D004133,E170_6353,ECLE170-E170_6353-30,48.378425,2024-06-01,False
D009554,E170_6353,SIEE170-E170_6353-31,19.85795,2024-06-01,False
D001637,E170_6353,SIEE170-E170_6353-32,40.625,2024-06-01,False
D006334,E170_6353,SYSE170-E170_6353-33,33.358875000000005,2024-06-01,False
D001943,E170_6353,SYSE170-E170_6353-34,5.3007,2024-06-01,False
D001901,E170_6353,TOIE170-E170_6353-35,9.28225,2024-06-01,False
