ref_deg,linked_aero,compo_concerned,usure_nouvelle,measure_day,need_replacement
D003661,E170_6353,REAE170-E170_6353-0,54.443290000000005,2024-06-06,False
D009402,E170_6353,REAE170-E170_6353-1,51.297412,2024-06-06,False
D000812,E170_6353,SYSE170-E170_6353-2,17.647641999999998,2024-06-06,False
D006665,E170_6353,ORDE170-E170_6353-3,7.561442,2024-06-06,False
D001163,E170_6353,AUTE170-E170_6353-4,43.325214,2024-06-06,False
D004039,E170_6353,SYSE170-E170_6353-5,6.6379600000000005,2024-06-06,False
D003609,E170_6353,RADE170-E170_6353-6,23.191526,2024-06-06,False
D000662,E170_6353,SYSE170-E170_6353-7,27.069940000000003,2024-06-06,False
D005726,E170_6353,SYSE170-E170_6353-8,3.591478,2024-06-06,False
D001649,E170_6353,SYSE170-E170_6353-9,31.918526000000004,2024-06-06,False
D000484,E170_6353,SYSE170-E170_6353-10,27.823014,2024-06-06,False
D000695,E170_6353,UNIE170-E170_6353-11,29.512288,2024-06-06,False
D008324,E170_6353,SYSE170-E170_6353-12,41.006258,2024-06-06,False
D004856,E170_6353,SYSE170-E170_6353-13,50.022994,2024-06-06,False
D003519,E170_6353,SYSE170-E170_6353-14,49.733726,2024-06-06,False
D001256,E170_6353,SYSE170-E170_6353-15,10.139382,2024-06-06,False
D000407,E170_6353,GENE170-E170_6353-16,37.641992,2024-06-06,False
D003436,E170_6353,TRAE170-E170_6353-17,37.253018,2024-06-06,False
D002068,E170_6353,TRAE170-E170_6353-18,29.522168,2024-06-06,False
D006601,E170_6353,SYSE170-E170_6353-19,33.098734,2024-06-06,False
D003686,E170_6353,AILE170-E170_6353-20,51.744888,2024-06-06,False
D006044,E170_6353,EMPE170-E170_6353-21,51.435232,2024-06-06,False
D007987,E170_6353,FLAE170-E170_6353-22,6.70605,2024-06-06,False
D002475,E170_6353,SPOE170-E170_6353-23,5.665012,2024-06-06,False
D000322,E170_6353,FREE170-E170_6353-24,30.77443,2024-06-06,False
D008648,E170_6353,SYSE170-E170_6353-25,11.30225,2024-06-06,False
D003139,E170_6353,GOUE170-E170_6353-26,32.44816599999999,2024-06-06,False
D005176,E170_6353,SYSE170-E170_6353-27,6.736756,2024-06-06,False
D001487,E170_6353,SYSE170-E170_6353-28,3.055566,2024-06-06,False
D008388,E170_6353,SYSE170-E170_6353-29,50.299302,2024-06-06,False
D004133,E170_6353,ECLE170-E170_6353-30,49.490198,2024-06-06,False
D009554,E170_6353,SIEE170-E170_6353-31,20.911172,2024-06-06,False
D001637,E170_6353,SIEE170-E170_6353-32,41.8604,2024-06-06,False
D006334,E170_6353,SYSE170-E170_6353-33,34.575570000000006,2024-06-06,False
D001943,E170_6353,SYSE170-E170_6353-34,6.507912,2024-06-06,False
D001901,E170_6353,TOIE170-E170_6353-35,10.43326,2024-06-06,False
D009948,E170_6353,SYSE170-E170_6353-36,48.825566,2024-06-06,False
D009118,E170_6353,DETE170-E170_6353-37,12.712692,2024-06-06,False
D008557,E170_6353,ECLE170-E170_6353-38,5.746158,2024-06-06,False
D003359,E170_6353,PORE170-E170_6353-39,9.934414,2024-06-06,False
D007229,E170_6353,SYSE170-E170_6353-40,25.142156000000004,2024-06-06,False
D004016,E170_6353,PORE170-E170_6353-41,18.393334,2024-06-06,False
D000955,E170_6353,HUBE170-E170_6353-42,16.534436,2024-06-06,False
D007247,E170_6353,ECLE170-E170_6353-43,51.603518,2024-06-06,False
D000514,E170_6353,SYSE170-E170_6353-44,22.622952,2024-06-06,False
D003716,B767_2803,REAB767-B767_2803-0,5.241075,2024-06-04,False
D004900,B767_2803,REAB767-B767_2803-1,20.32951,2024-06-04,False
D009419,B767_2803,SYSB767-B767_2803-2,47.413035,2024-06-04,False
D000526,B767_2803,ORDB767-B767_2803-3,26.439535000000003,2024-06-04,False
D008068,B767_2803,AUTB767-B767_2803-4,5.324345,2024-06-04,False
D007621,B767_2803,SYSB767-B767_2803-5,27.2483,2024-06-04,False
D005676,B767_2803,RADB767-B767_2803-6,58.22960499999999,2024-06-04,False
D008606,B767_2803,SYSB767-B767_2803-7,20.95995,2024-06-04,False
D002066,B767_2803,SYSB767-B767_2803-8,11.484565,2024-06-04,False
D007166,B767_2803,SYSB767-B767_2803-9,21.367105,2024-06-04,False
D001487,B767_2803,SYSB767-B767_2803-10,24.085845,2024-06-04,False
D009699,B767_2803,UNIB767-B767_2803-11,44.30524,2024-06-04,False
