ref_deg,linked_aero,compo_concerned,usure_nouvelle,measure_day,need_replacement
D003661,E170_6353,REAE170-E170_6353-0,55.734745000000004,2024-06-07,False
D009402,E170_6353,REAE170-E170_6353-1,52.646386,2024-06-07,False
D000812,E170_6353,SYSE170-E170_6353-2,18.691201,2024-06-07,False
D006665,E170_6353,ORDE170-E170_6353-3,8.595101,2024-06-07,False
D001163,E170_6353,AUTE170-E170_6353-4,44.795067,2024-06-07,False
D004039,E170_6353,SYSE170-E170_6353-5,7.883380000000001,2024-06-07,False
D003609,E170_6353,RADE170-E170_6353-6,24.371903,2024-06-07,False
D000662,E170_6353,SYSE170-E170_6353-7,28.096570000000003,2024-06-07,False
D005726,E170_6353,SYSE170-E170_6353-8,4.900159,2024-06-07,False
D001649,E170_6353,SYSE170-E170_6353-9,32.950403,2024-06-07,False
D000484,E170_6353,SYSE170-E170_6353-10,28.985967000000002,2024-06-07,False
D000695,E170_6353,UNIE170-E170_6353-11,30.821464000000002,2024-06-07,False
D008324,E170_6353,SYSE170-E170_6353-12,42.036749,2024-06-07,False
D004856,E170_6353,SYSE170-E170_6353-13,51.363156999999994,2024-06-07,False
D003519,E170_6353,SYSE170-E170_6353-14,50.726003,2024-06-07,False
D001256,E170_6353,SYSE170-E170_6353-15,11.605671000000001,2024-06-07,False
D000407,E170_6353,GENE170-E170_6353-16,38.999876,2024-06-07,False
D003436,E170_6353,TRAE170-E170_6353-17,38.281529000000006,2024-06-07,False
D002068,E170_6353,TRAE170-E170_6353-18,30.904604,2024-06-07,False
D006601,E170_6353,SYSE170-E170_6353-19,34.564627,2024-06-07,False
D003686,E170_6353,AILE170-E170_6353-20,52.786764,2024-06-07,False
D006044,E170_6353,EMPE170-E170_6353-21,52.795096,2024-06-07,False
D007987,E170_6353,FLAE170-E170_6353-22,7.797525,2024-06-07,False
D002475,E170_6353,SPOE170-E170_6353-23,6.994186,2024-06-07,False
D000322,E170_6353,FREE170-E170_6353-24,31.864915,2024-06-07,False
D008648,E170_6353,SYSE170-E170_6353-25,12.403625000000002,2024-06-07,False
D003139,E170_6353,GOUE170-E170_6353-26,33.699822999999995,2024-06-07,False
D005176,E170_6353,SYSE170-E170_6353-27,7.859218,2024-06-07,False
D001487,E170_6353,SYSE170-E170_6353-28,4.079523,2024-06-07,False
D008388,E170_6353,SYSE170-E170_6353-29,51.484431,2024-06-07,False
D004133,E170_6353,ECLE170-E170_6353-30,50.755319,2024-06-07,False
D009554,E170_6353,SIEE170-E170_6353-31,22.109666,2024-06-07,False
D001637,E170_6353,SIEE170-E170_6353-32,43.2662,2024-06-07,False
D006334,E170_6353,SYSE170-E170_6353-33,35.96008500000001,2024-06-07,False
D001943,E170_6353,SYSE170-E170_6353-34,7.881636,2024-06-07,False
D001901,E170_6353,TOIE170-E170_6353-35,11.74303,2024-06-07,False
D009948,E170_6353,SYSE170-E170_6353-36,49.849523000000005,2024-06-07,False
D009118,E170_6353,DETE170-E170_6353-37,13.808226000000001,2024-06-07,False
D008557,E170_6353,ECLE170-E170_6353-38,7.167699000000001,2024-06-07,False
D003359,E170_6353,PORE170-E170_6353-39,11.067667,2024-06-07,False
D007229,E170_6353,SYSE170-E170_6353-40,26.432918000000004,2024-06-07,False
D004016,E170_6353,PORE170-E170_6353-41,19.690927,2024-06-07,False
D000955,E170_6353,HUBE170-E170_6353-42,23.363258000000002,2024-06-07,False
D007247,E170_6353,ECLE170-E170_6353-43,52.656779,2024-06-07,False
D000514,E170_6353,SYSE170-E170_6353-44,23.889756000000002,2024-06-07,False
D003716,B767_2803,REAB767-B767_2803-0,5.2410749999999995,2024-06-04,False
D004900,B767_2803,REAB767-B767_2803-1,20.32951,2024-06-04,False
D009419,B767_2803,SYSB767-B767_2803-2,47.413035,2024-06-04,False
D000526,B767_2803,ORDB767-B767_2803-3,26.439535000000003,2024-06-04,False
D008068,B767_2803,AUTB767-B767_2803-4,5.324345,2024-06-04,False
D007621,B767_2803,SYSB767-B767_2803-5,27.2483,2024-06-04,False
D005676,B767_2803,RADB767-B767_2803-6,58.22960499999999,2024-06-04,False
D008606,B767_2803,SYSB767-B767_2803-7,20.95995,2024-06-04,False
D002066,B767_2803,SYSB767-B767_2803-8,11.484565,2024-06-04,False
D007166,B767_2803,SYSB767-B767_2803-9,21.367105000000002,2024-06-04,False
D001487,B767_2803,SYSB767-B767_2803-10,24.085845,2024-06-04,False
D009699,B767_2803,UNIB767-B767_2803-11,44.30524,2024-06-04,False
D002688,B767_2803,SYSB767-B767_2803-12,41.865215000000006,2024-06-04,False
D007634,B767_2803,SYSB767-B767_2803-13,40.737494999999996,2024-06-04,False
D001515,B767_2803,SYSB767-B767_2803-14,53.403105,2024-06-04,False
D003070,B767_2803,SYSB767-B767_2803-15,27.439485,2024-06-04,False
D004711,B767_2803,GENB767-B767_2803-16,47.61166,2024-06-04,False
D003192,B767_2803,TRAB767-B767_2803-17,6.4725150000000005,2024-06-04,False
D007890,B767_2803,TRAB767-B767_2803-18,26.62514,2024-06-04,False
D002810,B767_2803,SYSB767-B767_2803-19,5.838945,2024-06-04,False
D009472,B767_2803,AILB767-B767_2803-20,60.520739999999996,2024-06-04,False
D002376,B767_2803,EMPB767-B767_2803-21,46.33436,2024-06-04,False
D003509,B767_2803,FLAB767-B767_2803-22,2.608375,2024-06-04,False
D004583,B767_2803,SPOB767-B767_2803-23,49.90251000000001,2024-06-04,False
D007051,B767_2803,FREB767-B767_2803-24,4.107025,2024-06-04,False
D008050,B767_2803,SYSB767-B767_2803-25,38.891875,2024-06-04,False
D004329,B767_2803,GOUB767-B767_2803-26,36.906805,2024-06-04,False
D008606,B767_2803,SYSB767-B767_2803-27,2.8706300000000002,2024-06-04,False
D007496,B767_2803,SYSB767-B767_2803-28,57.606305000000006,2024-06-04,False
D000165,B767_2803,SYSB767-B767_2803-29,21.676085,2024-06-04,False
D004964,B767_2803,ECLB767-B767_2803-30,21.835165,2024-06-04,False
D007041,B767_2803,SIEB767-B767_2803-31,57.44431,2024-06-04,False
D008890,B767_2803,SIEB767-B767_2803-32,42.867000000000004,2024-06-04,False
D008521,B767_2803,SYSB767-B767_2803-33,35.187975,2024-06-04,False
D005970,B767_2803,SYSB767-B767_2803-34,5.043260000000001,2024-06-04,False
D004551,B767_2803,TOIB767-B767_2803-35,38.76604999999999,2024-06-04,False
D008002,B767_2803,SYSB767-B767_2803-36,57.546305000000004,2024-06-04,False
D009672,B767_2803,DETB767-B767_2803-37,52.163909999999994,2024-06-04,False
D006216,B767_2803,ECLB767-B767_2803-38,26.428465,2024-06-04,False
D000398,B767_2803,PORB767-B767_2803-39,24.365345,2024-06-04,False
D003069,B767_2803,SYSB767-B767_2803-40,15.41013,2024-06-04,False
D000924,B767_2803,PORB767-B767_2803-41,37.489444999999996,2024-06-04,False
D006492,B767_2803,HUBB767-B767_2803-42,15.97203,2024-06-04,False
D001195,B767_2803,ECLB767-B767_2803-43,52.196265,2024-06-04,False
D005839,B767_2803,SYSB767-B767_2803-44,21.03746,2024-06-04,False
D006519,CRJ700_6943,REACRJ700-CRJ700_6943-0,10.59118,2024-06-05,False
D003382,CRJ700_6943,REACRJ700-CRJ700_6943-1,42.75970399999999,2024-06-05,False
D001133,CRJ700_6943,SYSCRJ700-CRJ700_6943-2,19.840364000000005,2024-06-05,False
D000443,CRJ700_6943,ORDCRJ700-CRJ700_6943-3,4.009964,2024-06-05,False
D000067,CRJ700_6943,AUTCRJ700-CRJ700_6943-4,40.148788,2024-06-05,False
D000799,CRJ700_6943,SYSCRJ700-CRJ700_6943-5,50.82632,2024-06-05,False
D001539,CRJ700_6943,RADCRJ700-CRJ700_6943-6,48.362292,2024-06-05,False
D007375,CRJ700_6943,SYSCRJ700-CRJ700_6943-7,38.85548,2024-06-05,False
D008403,CRJ700_6943,SYSCRJ700-CRJ700_6943-8,52.026675999999995,2024-06-05,False
D005139,CRJ700_6943,SYSCRJ700-CRJ700_6943-9,40.566292,2024-06-05,False
D001899,CRJ700_6943,SYSCRJ700-CRJ700_6943-10,23.726387999999996,2024-06-05,False
D009548,CRJ700_6943,UNICRJ700-CRJ700_6943-11,17.837695999999998,2024-06-05,False
D005674,CRJ700_6943,SYSCRJ700-CRJ700_6943-12,11.473436000000001,2024-06-05,False
D008812,CRJ700_6943,SYSCRJ700-CRJ700_6943-13,26.801548,2024-06-05,False
D005779,CRJ700_6943,SYSCRJ700-CRJ700_6943-14,57.164692,2024-06-05,False
D008189,CRJ700_6943,SYSCRJ700-CRJ700_6943-15,41.361444,2024-06-05,False
D004950,CRJ700_6943,GENCRJ700-CRJ700_6943-16,48.208064,2024-06-05,False
D004215,CRJ700_6943,TRACRJ700-CRJ700_6943-17,44.119356,2024-06-05,False
D001398,CRJ700_6943,TRACRJ700-CRJ700_6943-18,49.988656,2024-06-05,False
D008244,CRJ700_6943,SYSCRJ700-CRJ700_6943-19,43.670628,2024-06-05,False
D003959,CRJ700_6943,AILCRJ700-CRJ700_6943-20,34.506896,2024-06-05,False
D006606,CRJ700_6943,EMPCRJ700-CRJ700_6943-21,49.352143999999996,2024-06-05,False
D003006,CRJ700_6943,FLACRJ700-CRJ700_6943-22,50.1491,2024-06-05,False
D000004,CRJ700_6943,SPOCRJ700-CRJ700_6943-23,37.368904,2024-06-05,False
